cvegeo,Municipio,Población 1,Porcentaje de población  en situación de pobreza,Porcentaje de población  en situación de pobreza moderada,Porcentaje de población  en situación de pobreza extrema,Porcentaje de población  vulnerable por carencias sociales,Porcentaje de población  vulnerable por ingresos,Porcentaje de población  no pobre y no vulnerable,Porcentaje de población con al menos una carencia social,Porcentaje de población con almenos tres carencias sociales,Porcentaje de población con carencia por rezago educativo,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con ingreso inferior a la línea de bienestar,Porcentaje de población con ingreso inferior a la línea de bienestar mínimo,Coeficiente de Gini
31001,Abalá,"6,650",52.0,32.4,19.6,43.1,0.9,4.0,95.1,62.8,39.0,48.8,62.4,35.6,85.2,30.2,52.9,22.6,0.40
31002,Acanceh,"17,125",57.3,46.7,10.6,29.2,4.1,9.4,86.5,45.0,28.1,39.1,50.3,23.5,68.2,18.7,61.4,14.6,0.38
31003,Akil,"9,597",78.0,51.9,26.2,10.8,5.8,5.3,88.9,45.5,38.8,29.8,63.8,43.1,44.0,21.3,83.9,47.3,0.41
31004,Baca,"5,984",54.6,43.2,11.4,23.7,8.5,13.2,78.3,35.3,29.9,24.7,34.3,26.2,59.3,25.7,63.0,18.9,0.35
31005,Bokobá,"2,028",42.9,34.7,8.2,49.6,1.8,5.7,92.5,37.5,34.2,6.6,67.3,26.1,64.7,19.7,44.7,15.2,0.39
31006,Buctzotz,"8,384",82.2,54.3,27.8,12.6,1.8,3.5,94.7,52.3,39.3,13.8,90.5,25.9,67.8,20.3,83.9,43.2,0.38
31007,Cacalchén,"5,584",59.5,50.1,9.4,17.1,13.2,10.2,76.6,22.9,32.9,16.3,31.0,17.3,47.4,13.2,72.7,24.0,0.33
31008,Calotmul,"4,087",85.9,48.7,37.2,11.8,1.0,1.3,97.7,69.5,39.2,22.9,87.4,29.8,85.0,45.5,86.9,47.4,0.37
31009,Cansahcab,"5,561",68.6,48.2,20.4,18.1,5.2,8.1,86.7,41.4,29.8,20.8,53.7,25.9,65.1,29.4,73.8,30.8,0.37
31010,Cantamayec,"2,402",80.6,44.5,36.1,19.1,0.0,0.2,99.7,74.1,42.4,15.0,92.6,54.4,96.7,24.2,80.7,44.8,0.39
31011,Celestún,"5,866",81.0,58.3,22.7,16.5,1.0,1.4,97.5,50.0,37.7,34.6,95.4,29.8,39.4,35.5,82.1,36.9,0.35
31012,Cenotillo,"3,652",86.6,50.8,35.8,10.3,1.4,1.7,96.9,56.9,41.1,20.1,92.0,23.4,48.2,51.0,88.0,55.3,0.39
31013,Conkal,"9,051",39.5,34.1,5.4,34.3,10.0,16.2,73.8,23.7,26.5,18.5,45.9,15.7,35.0,18.6,49.5,11.7,0.34
31014,Cuncunul,"1,582",63.3,44.8,18.5,30.0,2.7,4.0,93.2,52.2,35.5,22.0,82.5,42.4,30.7,49.6,66.0,27.9,0.39
31015,Cuzamá,"4,949",72.9,51.0,21.9,24.0,1.1,2.0,96.9,69.5,36.3,38.7,62.9,35.5,84.2,67.6,73.9,25.6,0.32
31016,Chacsinkín,"2,812",92.8,48.7,44.1,6.4,0.3,0.5,99.2,71.1,40.0,5.8,97.6,43.8,36.9,89.7,93.1,58.9,0.35
31017,Chankom,"4,459",84.1,47.3,36.8,15.0,0.2,0.6,99.2,67.2,38.4,19.8,91.7,49.4,76.7,30.8,84.4,50.2,0.39
31018,Chapab,"3,016",56.8,41.6,15.3,39.1,0.7,3.3,96.0,57.2,34.4,6.1,83.3,30.3,75.3,40.7,57.6,21.9,0.41
31019,Chemax,"26,256",85.6,45.7,39.9,14.1,0.1,0.2,99.7,73.7,46.1,15.8,97.4,47.6,76.3,38.0,85.7,48.3,0.39
31020,Chicxulub Pueblo,"4,079",60.4,47.0,13.4,21.9,6.4,11.2,82.3,43.8,27.0,29.0,51.4,24.6,55.8,39.7,66.8,19.2,0.35
31021,Chichimilá,"7,362",90.5,38.4,52.2,6.2,1.6,1.7,96.7,72.7,34.5,22.6,89.7,46.8,80.3,45.3,92.1,63.1,0.43
31022,Chikindzonot,"4,145",93.3,30.2,63.1,6.7,0.0,0.0,100.0,84.8,34.7,8.0,98.7,51.0,90.2,69.8,93.3,70.1,0.39
31023,Chocholá,"5,902",56.4,46.1,10.4,22.7,7.5,13.3,79.2,32.8,28.1,27.3,41.2,17.3,63.0,13.3,63.9,17.8,0.33
31024,Chumayel,"3,139",92.5,45.5,47.0,6.3,0.7,0.4,98.9,67.0,41.0,11.5,93.7,38.0,76.5,46.0,93.3,62.7,0.37
31025,Dzán,"4,935",90.3,50.9,39.4,6.4,1.4,2.0,96.6,54.6,34.5,11.6,92.3,30.7,66.9,34.0,91.7,61.0,0.39
31026,Dzemul,"3,470",61.6,48.1,13.5,22.0,7.6,8.9,83.6,34.8,32.4,21.7,39.3,19.3,54.6,30.3,69.2,24.1,0.36
31027,Dzidzantún,"8,423",60.3,42.1,18.2,22.5,7.5,9.7,82.8,29.1,24.6,8.5,46.6,15.3,61.5,26.4,67.8,32.4,0.42
31028,Dzilam de Bravo,"2,454",54.1,47.1,7.1,31.5,7.7,6.7,85.6,21.6,23.5,12.6,69.8,19.0,30.4,11.3,61.8,29.0,0.47
31029,Dzilam González,"5,336",70.3,50.9,19.4,18.7,3.8,7.3,89.0,54.6,33.9,8.7,61.2,24.0,60.5,65.0,74.0,26.4,0.36
31030,Dzitás,"3,524",86.7,50.4,36.4,11.2,0.7,1.3,98.0,62.3,39.6,7.7,93.8,44.1,78.1,25.3,87.4,50.6,0.38
31031,Dzoncauich,"2,763",74.3,48.9,25.4,23.4,0.6,1.7,97.7,61.0,40.9,5.6,79.9,31.1,83.9,41.2,74.9,35.8,0.38
31032,Espita,"16,533",77.7,50.0,27.7,18.9,0.5,2.9,96.6,70.6,43.4,13.9,90.2,33.5,86.1,31.5,78.2,33.7,0.42
31033,Halachó,"18,705",67.2,49.0,18.2,25.3,2.4,5.2,92.5,56.6,33.3,28.7,68.4,33.6,76.3,26.9,69.6,24.0,0.39
31034,Hocabá,"6,656",71.4,54.4,17.1,22.8,2.0,3.8,94.2,49.8,39.0,20.9,53.7,37.6,83.0,20.0,73.4,26.8,0.34
31035,Hoctún,"5,542",69.7,49.3,20.4,19.9,5.1,5.3,89.6,51.9,40.5,29.1,51.6,31.8,64.3,40.7,74.7,28.4,0.37
31036,Homún,"6,196",75.9,49.2,26.8,18.3,2.6,3.1,94.3,70.5,36.6,58.4,69.7,42.8,78.6,55.2,78.5,30.6,0.32
31037,Huhí,"4,837",79.0,57.1,22.0,18.5,1.1,1.3,97.6,61.3,40.9,36.7,74.0,31.8,82.0,31.8,80.2,29.6,0.31
31038,Hunucmá,"32,142",63.3,49.2,14.1,25.7,3.7,7.2,89.0,47.8,30.4,29.7,65.9,24.5,59.4,36.3,67.0,19.7,0.38
31039,Ixil,"3,784",55.1,46.5,8.6,25.1,8.3,11.5,80.2,30.3,30.3,20.3,47.2,18.1,51.7,16.4,63.4,17.6,0.34
31040,Izamal,"26,006",60.0,47.1,12.8,23.5,5.9,10.6,83.4,41.2,31.1,29.9,50.5,23.4,59.7,23.7,65.9,19.1,0.39
31041,Kanasín,"79,458",41.2,35.3,5.9,25.7,9.9,23.2,66.8,23.2,23.4,21.6,49.5,12.2,19.5,21.6,51.1,10.5,0.37
31042,Kantunil,"6,244",77.0,50.5,26.5,19.1,1.9,2.0,96.1,62.8,34.7,27.0,85.1,32.3,70.7,44.9,78.9,35.3,0.35
31043,Kaua,"2,753",79.1,50.0,29.1,17.6,2.3,1.0,96.7,57.5,38.5,25.0,78.6,38.7,70.9,21.6,81.4,45.3,0.38
31044,Kinchil,"6,813",80.5,59.8,20.7,14.5,2.8,2.2,95.0,47.5,35.7,17.8,44.6,41.0,87.8,26.5,83.3,34.2,0.31
31045,Kopomá,"2,441",48.8,35.8,13.0,42.3,2.2,6.6,91.1,47.1,28.0,37.0,47.8,35.4,70.9,21.9,51.0,18.3,0.38
31046,Mama,"2,877",88.6,48.2,40.4,8.2,1.8,1.4,96.7,64.7,44.3,23.2,83.7,24.6,72.4,51.7,90.4,55.0,0.40
31047,Maní,"5,129",85.2,49.8,35.4,12.1,1.6,1.1,97.3,59.8,39.6,11.2,92.9,31.0,73.5,35.5,86.8,50.3,0.37
31048,Maxcanú,"23,022",51.9,41.2,10.7,37.9,3.2,7.0,89.8,56.0,34.5,48.2,57.8,34.5,73.1,24.0,55.1,13.4,0.36
31049,Mayapán,"3,257",93.0,39.2,53.8,7.0,0.0,0.0,100.0,96.6,46.3,36.1,97.4,47.9,94.9,97.0,93.0,54.7,0.34
31050,Mérida,"831,119",27.0,24.3,2.7,28.9,9.8,34.3,55.9,11.4,14.1,19.5,40.2,6.7,9.8,13.4,36.8,6.6,0.41
31051,Mocochá,"3,055",36.3,31.9,4.4,39.1,6.8,17.8,75.4,19.0,27.9,11.8,46.3,14.2,37.3,10.0,43.2,15.0,0.43
31052,Motul,"37,882",48.3,39.7,8.6,37.5,4.2,10.1,85.7,46.0,30.7,38.7,61.0,23.5,55.7,23.5,52.5,12.2,0.39
31053,Muna,"10,351",71.4,48.1,23.3,19.0,4.2,5.4,90.4,49.0,29.8,33.2,76.0,19.1,53.9,36.2,75.6,33.4,0.40
31054,Muxupip,"2,737",54.4,40.6,13.7,35.9,3.0,6.7,90.3,43.0,31.9,20.1,53.9,31.4,67.1,25.0,57.3,21.7,0.38
31055,Opichén,"5,874",81.0,50.5,30.5,17.8,0.7,0.5,98.9,75.2,38.4,36.8,70.9,40.3,90.1,61.8,81.7,36.9,0.33
31056,Oxkutzcab,"27,513",72.6,53.3,19.2,18.3,4.1,5.0,90.9,43.9,39.4,18.8,79.3,20.2,51.8,18.8,76.7,33.7,0.42
31057,Panabá,"6,261",78.8,55.1,23.7,15.9,2.4,2.9,94.7,49.2,39.6,19.3,88.2,26.5,54.1,26.6,81.2,38.7,0.38
31058,Peto,"20,226",79.3,50.9,28.4,12.6,2.2,5.9,91.9,46.7,34.7,9.5,87.5,33.8,49.7,21.9,81.5,43.6,0.46
31059,Progreso,"59,875",45.9,42.4,3.5,30.5,7.1,16.6,76.4,16.4,22.6,22.6,64.8,17.7,5.6,7.6,53.0,10.6,0.38
31060,Quintana Roo,928,82.0,53.2,28.7,16.8,0.5,0.8,98.7,52.4,35.7,32.2,88.7,43.6,60.5,7.1,82.5,46.9,0.38
31061,Río Lagartos,"3,348",41.1,34.0,7.1,29.3,12.3,17.2,70.4,20.1,32.3,10.1,41.9,20.3,29.7,8.7,53.4,23.0,0.43
31062,Sacalum,"4,581",68.5,48.4,20.0,23.7,2.5,5.3,92.2,57.8,36.1,45.7,75.5,29.0,61.4,36.6,71.0,26.4,0.35
31063,Samahil,"4,986",56.0,45.1,10.9,36.4,2.5,5.1,92.4,40.5,29.7,13.0,39.4,36.0,83.3,25.0,58.5,17.1,0.34
31064,Sanahcat,"1,610",54.2,40.5,13.7,38.5,2.3,4.9,92.8,46.8,34.1,19.2,64.4,41.4,53.4,29.8,56.5,21.6,0.38
31065,San Felipe,"1,825",35.7,32.3,3.5,32.6,15.2,16.4,68.3,12.8,30.4,7.0,46.2,12.2,9.7,10.3,50.9,21.2,0.47
31066,Santa Elena,"3,804",86.0,57.7,28.3,11.0,1.5,1.5,97.0,52.7,36.8,7.1,87.5,26.0,72.7,30.9,87.5,45.6,0.35
31067,Seyé,"9,627",69.0,52.6,16.5,25.1,2.8,3.1,94.2,60.3,37.4,32.0,62.0,30.3,78.2,48.9,71.8,21.9,0.31
31068,Sinanché,"3,096",70.0,49.8,20.2,19.1,4.9,6.1,89.1,43.8,30.4,17.0,63.0,21.2,54.4,46.7,74.8,32.8,0.38
31069,Sotuta,"7,726",75.7,45.2,30.5,21.6,1.0,1.7,97.2,78.4,44.4,23.8,89.2,52.8,87.2,41.8,76.7,34.7,0.35
31070,Sucilá,"3,904",77.1,56.8,20.3,13.9,3.6,5.4,91.0,35.8,28.0,12.6,81.6,25.5,50.9,11.1,80.7,41.7,0.41
31071,Sudzal,"1,687",69.6,47.8,21.8,28.0,0.9,1.5,97.6,49.6,33.9,15.9,86.8,36.8,68.5,16.3,70.5,34.0,0.42
31072,Suma,"1,848",39.9,32.8,7.1,44.7,3.4,12.0,84.5,32.7,32.4,18.3,37.1,27.9,64.8,12.1,43.3,13.8,0.41
31073,Tahdziú,"4,443",95.6,29.8,65.8,4.0,0.2,0.2,99.6,86.7,42.2,5.3,97.7,52.6,83.9,70.9,95.9,73.2,0.39
31074,Tahmek,"3,592",68.4,56.2,12.2,15.5,8.7,7.5,83.8,30.5,32.2,17.0,36.9,23.0,64.9,16.3,77.0,27.4,0.32
31075,Teabo,"6,644",88.1,44.0,44.2,9.7,0.6,1.5,97.9,78.0,45.8,20.2,94.0,47.5,87.0,54.9,88.8,50.0,0.55
31076,Tecoh,"20,808",60.1,49.2,10.8,32.1,3.0,4.8,92.2,46.9,37.3,2.2,59.9,32.2,76.9,25.4,63.1,17.4,0.35
31077,Tekal de Venegas,"2,602",80.8,55.5,25.3,12.6,4.1,2.5,93.4,52.7,38.6,31.0,41.2,38.2,57.5,63.8,84.9,39.5,0.34
31078,Tekantó,"3,667",70.5,51.5,19.1,21.1,3.7,4.6,91.7,47.9,32.9,17.1,45.5,33.1,67.3,46.9,74.2,29.1,0.35
31079,Tekax,"40,589",71.4,49.0,22.4,18.8,2.6,7.2,90.1,49.4,33.1,11.6,79.4,35.0,63.4,15.8,74.0,32.2,0.46
31080,Tekit,"9,466",76.4,55.2,21.2,19.4,1.8,2.3,95.9,64.0,50.2,38.5,70.4,40.5,66.8,42.2,78.3,27.1,0.40
31081,Tekom,"3,077",92.4,39.0,53.3,6.4,0.6,0.6,98.8,80.3,37.5,19.3,92.9,46.2,84.4,65.4,93.0,61.4,0.37
31082,Telchac Pueblo,"3,509",69.1,47.5,21.6,18.1,4.7,8.0,87.3,51.1,26.6,38.2,53.5,14.5,53.6,64.6,73.8,29.6,0.39
31083,Telchac Puerto,"1,687",43.1,37.4,5.8,44.6,3.3,9.0,87.7,25.8,32.3,23.5,74.3,20.8,21.9,9.1,46.5,17.4,0.43
31084,Temax,"6,954",79.6,48.2,31.4,14.6,2.4,3.4,94.2,61.4,41.8,33.2,54.9,39.0,82.4,51.8,82.0,39.6,0.36
31085,Temozón,"12,986",80.6,53.6,27.0,15.9,1.2,2.4,96.4,54.3,38.3,13.7,92.6,42.5,55.1,12.7,81.7,41.3,0.42
31086,Tepakán,"2,204",49.4,38.3,11.1,43.5,2.1,5.0,92.9,45.0,42.0,9.9,38.1,40.9,69.8,37.8,51.4,17.9,0.38
31087,Tetiz,"4,689",75.2,51.5,23.7,21.8,1.6,1.4,97.1,60.1,47.0,27.1,64.4,37.3,81.8,34.0,76.8,31.7,0.33
31088,Teya,"1,968",58.5,43.7,14.8,37.1,1.2,3.2,95.6,50.9,35.5,6.6,67.9,42.0,70.6,35.8,59.7,23.3,0.39
31089,Ticul,"47,425",60.5,50.0,10.5,28.2,2.8,8.4,88.7,40.5,25.1,14.6,79.7,23.9,44.3,30.2,63.4,15.7,0.40
31090,Timucuy,"7,094",63.1,45.3,17.8,33.7,0.7,2.5,96.8,70.4,42.5,49.7,61.5,38.0,77.4,65.0,63.8,20.7,0.33
31091,Tinum,"12,606",60.3,44.6,15.7,35.7,1.2,2.8,96.0,59.6,31.5,20.4,85.4,36.5,72.8,35.1,61.5,20.0,0.38
31092,Tixcacalcupul,"6,422",93.3,35.9,57.4,6.0,0.2,0.4,99.3,84.7,39.7,30.5,94.5,40.4,82.7,76.2,93.5,65.1,0.39
31093,Tixkokob,"19,269",42.1,36.5,5.6,38.2,5.7,14.1,80.3,25.6,24.0,21.0,47.6,14.4,49.5,11.6,47.7,11.4,0.39
31094,Tixmehuac,"4,742",81.4,48.0,33.4,16.9,0.6,1.2,98.2,60.4,36.6,12.5,82.6,40.1,89.8,16.8,82.0,49.8,0.41
31095,Tixpéhual,"6,536",39.6,32.8,6.8,35.9,9.5,15.1,75.5,30.5,27.9,24.7,34.6,17.9,53.8,18.4,49.1,13.8,0.36
31096,Tizimín,"74,874",71.1,48.7,22.4,20.6,2.0,6.3,91.7,55.9,33.8,12.1,80.3,38.3,67.1,30.9,73.1,29.0,0.45
31097,Tunkás,"3,451",85.1,42.7,42.4,11.0,1.6,2.3,96.1,71.2,39.4,24.0,87.7,34.0,78.8,54.7,86.7,50.5,0.39
31098,Tzucacab,"11,384",84.1,48.5,35.6,11.9,1.7,2.3,96.0,62.7,36.9,13.6,85.0,40.0,85.8,18.2,85.8,46.3,0.41
31099,Uayma,"3,775",91.5,40.9,50.6,7.2,0.6,0.6,98.8,81.0,41.6,14.9,92.9,41.7,79.2,72.1,92.2,58.0,0.36
31100,Ucú,"3,434",54.8,44.8,10.0,30.7,5.6,8.9,85.5,35.2,33.0,24.8,57.0,16.6,57.5,14.3,60.4,17.5,0.35
31101,Umán,"56,247",44.7,38.3,6.4,31.2,8.7,15.4,75.9,27.8,25.1,18.6,46.1,20.4,42.2,15.2,53.3,12.2,0.37
31102,Valladolid,"80,923",62.2,45.1,17.0,24.0,3.3,10.6,86.2,43.7,27.7,19.0,75.9,26.1,53.9,17.7,65.5,23.8,0.47
31103,Xocchel,"3,231",77.0,53.9,23.1,18.3,2.5,2.1,95.3,62.7,37.8,44.7,66.1,38.1,83.3,28.0,79.5,30.6,0.32
31104,Yaxcabá,"17,599",72.3,46.9,25.4,27.4,0.1,0.2,99.7,75.1,38.4,20.6,94.6,43.8,91.8,22.5,72.4,30.3,0.37
31105,Yaxkukul,"2,853",63.8,49.8,14.0,21.1,6.7,8.4,84.9,39.2,25.5,35.4,58.5,15.8,53.6,27.9,70.5,21.2,0.33
31106,Yobaín,"2,133",46.1,37.3,8.8,45.3,1.7,6.9,91.4,37.4,29.5,8.1,69.9,30.6,62.1,15.0,47.8,16.8,0.43
